rank,content_id,client_id,position_tier,impressions_90d,ctr,pred_prob,ctr_gap_score,archetype,reason_low_ctr_vs_tier,reason_high_stakes,reason_model_flagged,high_confidence
2958,content_0f15925dec6f,client_19581e27de,page_1,6199,0.08,0.5962960120708487,0.15999999999999998,ctr_only_underperformer,True,False,True,False
2959,content_03ca1c3278cf,client_4e07408562,striking,944,0.21,0.5962362190819207,0.0,healthy,False,False,True,False
2960,content_11d9fad3b4ba,client_6208ef0f77,striking,1388,0.07,0.5962314021305433,0.1,ctr_only_underperformer,True,False,True,False
2961,content_1bbffa45ae7c,client_19581e27de,page_1,3972,0.3,0.5962080366254336,0.0,engagement_only_underperformer,False,False,True,False
2962,content_8a42e1e6370a,client_3fdba35f04,striking,1676,0.0,0.5961764533508014,0.17,ctr_only_underperformer,True,False,True,False
2963,content_6e4e4fe35ed5,client_6208ef0f77,page_1,1057,0.19,0.5961151263096712,0.04999999999999999,ctr_only_underperformer,True,False,True,False
2964,content_bef9eb4949af,client_7f2253d7e2,page_1,1416,0.07,0.5960939887009397,0.16999999999999998,dual_underperformer,True,False,True,False
2965,content_cb7b29cfd2d2,client_19581e27de,page_1,6674,0.1,0.5960758302995072,0.13999999999999999,dual_underperformer,True,False,True,False
2966,content_1a81d69c3f52,client_4e07408562,striking,761,0.26,0.5960755510816074,0.0,engagement_only_underperformer,False,False,True,False
2967,content_724a0d3199c1,client_6208ef0f77,page_1,818,0.0,0.5960678764419612,0.24,ctr_only_underperformer,True,False,True,False
2968,content_85842c12d5ee,client_7f2253d7e2,striking,509,0.0,0.5960591915441378,0.17,ctr_only_underperformer,True,False,True,False
2969,content_a2ede209078e,client_7f2253d7e2,page_1,740,0.0,0.5959781297712023,0.24,ctr_only_underperformer,True,False,True,False
2970,content_76a67647eaf2,client_349c41201b,striking,627,0.32,0.5959297837898324,0.0,engagement_only_underperformer,False,False,True,False
2971,content_63138be04619,client_4e07408562,striking,1789,0.17,0.5959261729003283,0.0,healthy,False,False,True,False
2972,content_df32c8c5c2ce,client_f369cb89fc,striking,1549,0.13,0.5958869291369896,0.04000000000000001,dual_underperformer,True,False,True,False
2973,content_b9d5bfd7a8e2,client_19581e27de,page_1,4515,0.09,0.595884494254137,0.15,ctr_only_underperformer,True,False,True,False
2974,content_cd751844bead,client_bbb965ab0c,striking,725,0.28,0.595877066974279,0.0,engagement_only_underperformer,False,False,True,False
2975,content_9db40e41d57d,client_f369cb89fc,striking,2083,0.05,0.5958155872261515,0.12000000000000001,ctr_only_underperformer,True,False,True,False
2976,content_72d8c3fdaf97,client_19581e27de,page_1,1587,0.19,0.5958108561432889,0.04999999999999999,dual_underperformer,True,False,True,False
2977,content_b9caf92ac39b,client_8722616204,page_1,561,0.0,0.5957930223503531,0.24,ctr_only_underperformer,True,False,True,False
2978,content_376afdc90323,client_6208ef0f77,striking,1356,0.0,0.5957765982507792,0.17,ctr_only_underperformer,True,False,True,False
2979,content_31488f0dfd3a,client_19581e27de,striking,824,0.24,0.5957750179779976,0.0,engagement_only_underperformer,False,False,True,False
2980,content_136ad3ae062b,client_6208ef0f77,striking,1264,0.0,0.5957236505074395,0.17,ctr_only_underperformer,True,False,True,False
2981,content_134637480bfe,client_4e07408562,page_1,695,0.0,0.5956795962528527,0.24,dual_underperformer,True,False,True,False
2982,content_a40dfc3c5ff9,client_19581e27de,page_1,997,0.1,0.5956180597213573,0.13999999999999999,ctr_only_underperformer,True,False,True,False
2983,content_3e8fe430800d,client_6208ef0f77,striking,1120,0.0,0.595604327310674,0.17,dual_underperformer,True,False,True,False
2984,content_1518c6691ded,client_19581e27de,page_1,4474,0.16,0.5955679866791795,0.07999999999999999,dual_underperformer,True,False,True,False
2985,content_4840977aeee5,client_19581e27de,page_1,7390,0.08,0.5955403247814854,0.15999999999999998,dual_underperformer,True,False,True,False
2986,content_ef1e5f4a8287,client_349c41201b,striking,1418,0.14,0.5954877793811967,0.03,dual_underperformer,True,False,True,False
2987,content_ed4f9ab58560,client_4e07408562,page_1,1094,0.09,0.595483831147745,0.15,dual_underperformer,True,False,True,False
2988,content_77ac7bbc1b00,client_9400f1b21c,page_1,1571,0.06,0.5954599539218616,0.18,ctr_only_underperformer,True,False,True,False
2989,content_b96f39de8ced,client_19581e27de,striking,1911,0.1,0.5954405110615804,0.07,dual_underperformer,True,False,True,False
2990,content_d1ca928ca2da,client_19581e27de,page_1,4965,0.16,0.5954372760532015,0.07999999999999999,ctr_only_underperformer,True,False,True,False
2991,content_986fb0029b78,client_f74efabef1,page_1,1124,0.27,0.5954354002988722,0.0,engagement_only_underperformer,False,False,True,False
2992,content_ce78b1b0c99b,client_19581e27de,page_1,1903,0.21,0.5953864822117293,0.03,ctr_only_underperformer,True,False,True,False
2993,content_84d5f676464b,client_19581e27de,striking,1190,0.17,0.5953400284203306,0.0,engagement_only_underperformer,False,False,True,False
2994,content_22950f1aba15,client_19581e27de,striking,1025,0.1,0.5953355592851185,0.07,dual_underperformer,True,False,True,False
2995,content_122dc46282c0,client_4e07408562,striking,1859,0.05,0.595334545551909,0.12000000000000001,dual_underperformer,True,False,True,False
2996,content_1d3d99888782,client_6208ef0f77,striking,1427,0.0,0.5953146136544107,0.17,ctr_only_underperformer,True,False,True,False
2997,content_b73b02a45691,client_a88a7902cb,striking,1031,0.1,0.5952950956556755,0.07,ctr_only_underperformer,True,False,True,False
2998,content_13db9ddaa0a9,client_f74efabef1,page_1,921,0.11,0.5952914292401607,0.13,ctr_only_underperformer,True,False,True,False
2999,content_1841e8d018c8,client_19581e27de,page_1,9612,0.12,0.5952286703825218,0.12,ctr_only_underperformer,True,True,True,False
3000,content_fd15559290a1,client_f369cb89fc,page_1,1154,0.35,0.5952110090438949,0.0,engagement_only_underperformer,False,False,True,False
3001,content_bcb213cc16ed,client_6208ef0f77,striking,944,0.21,0.5952051059950779,0.0,healthy,False,False,True,False
3002,content_f353cfa165c8,client_19581e27de,page_1,2160,0.19,0.595204193475695,0.04999999999999999,dual_underperformer,True,False,True,False
3003,content_c63693415125,client_19581e27de,striking,1389,0.07,0.595168582128121,0.1,dual_underperformer,True,False,True,False
3004,content_e74fc03e6032,client_19581e27de,page_1,1735,0.23,0.5951487388169522,0.009999999999999981,dual_underperformer,True,False,True,False
3005,content_e5fd30b6e33b,client_f369cb89fc,page_1,687,0.29,0.5951309670605114,0.0,healthy,False,False,True,False
